landmark_name,latitude,longitude
Historic Centre of Brugge,51.20891,3.22527
Historic Centre of Bukhara,39.77472,64.42861
Historic Centre of Camagüey,21.37861111,-77.91861111
Historic Centre of Cordoba,37.87919444,-4.779722222
Historic Centre of Florence,43.77306,11.25611
Historic Centre of Guimarães and Couros Zone,41.443,-8.292777778
Historic Centre of Kraków,50.06138889,19.93722222
Historic Centre of Lima,-12.046542,-77.0304
Historic Centre of Macao,22.19129194,113.5364611
Historic Centre of Mexico City and Xochimilco,19.41833,-99.13278
Historic Centre of Morelia,19.700927,-101.190376
Historic Centre of Naples,40.85138889,14.26277778
Historic Centre of Oaxaca and Archaeological Site of Monte Albán,17.061579,-96.725885
"Historic Centre of Oporto, Luiz I Bridge and Monastery of Serra do Pilar",41.14166667,-8.616666667
Historic Centre of Prague,50.08972,14.41944
Historic Centre of Puebla,19.045967,-98.197769
Historic Centre of Riga,56.95417,24.11667
"Historic Centre of Rome, the Properties of the Holy See in that City Enjoying Extraterritorial Rights and San Paolo Fuori le Mura",41.89022222,12.49230556
Historic Centre of Saint Petersburg and Related Groups of Monuments,59.95,30.31833
Historic Centre of Salvador de Bahia,-12.972917,-38.512981
Historic Centre of San Gimignano,43.46806,11.04167
Historic Centre of Santa Ana de los Ríos de Cuenca,-2.897447,-79.004382
Historic Centre of Santa Cruz de Mompox,9.240492,-74.423084
Historic Centre of Shakhrisyabz,39.05,66.83333
Historic Centre of Sheki with the Khan’s Palace,41.20333333,47.1875
Historic Centre of Siena,43.31861111,11.33166667
Historic Centre of Sighişoara,46.21777778,24.79222222
Historic Centre of São Luís,-2.530054,-44.303369000000004
Historic Centre of Telč,49.18413889,15.45397222
Historic Centre of Urbino,43.725,12.63333
Historic Centre of Vienna,48.2094,16.3699
Historic Centre of Warsaw,52.25,21.013
Historic Centre of Zacatecas,22.775484,-102.573531
Historic Centre of the City of Pienza,43.07694444,11.67861111
Historic Centre of the City of Salzburg,47.80055556,13.04333333
Historic Centre of the Town of Diamantina,-18.244776,-43.59768
Historic Centre of the Town of Goiás,-15.934231,-50.140164
Historic Centre of the Town of Olinda,-8.013333333,-34.845
Historic Centre of Évora,38.57306,-7.90778
Historic Centre of Český Krumlov,48.81069444,14.31502778
Historic Centres of Berat and Gjirokastra,40.07416667,20.14083333
Historic Centres of Stralsund and Wismar,54.3025,13.08527778
Historic City of Ahmadabad,23.02638889,72.58805556
Historic City of Ayutthaya,14.34778,100.56056
Historic City of Meknes,33.88333,-5.55833
Historic City of Sucre,-19.04799,-65.259592
Historic City of Toledo,39.85694444,-4.024444444
Historic City of Trogir,43.51708333,16.25136111
Historic City of Vigan,17.575,120.3875
Historic City of Yazd,31.90138889,54.36916667
